Setup	Run	FitnessSample	Sample	Fitness
robotglobal	13	0	0	2.974621859552392
robotglobal	13	0	1	2.968970198518699
robotglobal	13	0	2	2.956672689540306
robotglobal	13	0	3	2.997049343457986
robotglobal	13	0	4	2.111635011290287
robotglobal	13	0	5	2.9628576200711243
robotglobal	13	0	6	2.987479226367812
robotglobal	13	0	7	2.98725243369927
robotglobal	13	0	8	2.9677413889726436
robotglobal	13	0	9	2.9925703806948563
robotglobal	13	0	10	2.965575122791708
robotglobal	13	0	11	2.9449912150296518
robotglobal	13	0	12	2.943581770038516
robotglobal	13	0	13	2.959203787237347
robotglobal	13	0	14	2.982323161030556
robotglobal	13	0	15	2.9880719796397712
robotglobal	13	0	16	2.9942713078037353
robotglobal	13	0	17	2.931970763007841
robotglobal	13	0	18	2.9936853002976758
robotglobal	13	0	19	2.4486599385133445
robotglobal	13	0	20	2.9938185972293674
robotglobal	13	0	21	2.950463912311151
robotglobal	13	0	22	2.984153469691922
robotglobal	13	0	23	2.9098212883749244
robotglobal	13	0	24	2.9879071862540925
robotglobal	13	0	25	2.981750729326593
robotglobal	13	0	26	2.9979470487317035
robotglobal	13	0	27	2.9837476107624203
robotglobal	13	0	28	2.9877993371051357
robotglobal	13	0	29	2.9926698775030562
robotglobal	13	0	30	2.9934244122709694
robotglobal	13	0	31	2.945204055374333
robotglobal	13	0	32	2.9957106005426355
robotglobal	13	0	33	2.989459636812782
robotglobal	13	0	34	2.9867578952618277
robotglobal	13	0	35	2.943194117300011
robotglobal	13	0	36	2.989195228540785
robotglobal	13	0	37	2.9982957918562994
robotglobal	13	0	38	2.995710608156812
robotglobal	13	0	39	2.944930358548306
robotglobal	13	0	40	2.9821203879354288
robotglobal	13	0	41	2.9515232033247933
robotglobal	13	0	42	2.995743629956245
robotglobal	13	0	43	2.986434842608684
robotglobal	13	0	44	2.9783911885086916
robotglobal	13	0	45	2.7511388644107626
robotglobal	13	0	46	2.9892368086340975
robotglobal	13	0	47	2.9907570436518824
robotglobal	13	0	48	2.600921945552252
robotglobal	13	0	49	2.9936249622350393
robotglobal	13	0	50	2.992826387987628
robotglobal	13	0	51	2.993495300882702
robotglobal	13	0	52	2.9063777190247895
robotglobal	13	0	53	2.9876976580119132
robotglobal	13	0	54	2.99822671989165
robotglobal	13	0	55	2.968600293394033
robotglobal	13	0	56	2.9879330593451243
robotglobal	13	0	57	2.9974231396788587
robotglobal	13	0	58	2.9871094148014965
robotglobal	13	0	59	2.9910962045999403
robotglobal	13	0	60	2.9954332846981533
robotglobal	13	0	61	2.970473202638229
robotglobal	13	0	62	2.981259210275292
robotglobal	13	0	63	2.992763807299009
robotglobal	13	0	64	2.317350979784379
robotglobal	13	0	65	2.9920400982759094
robotglobal	13	0	66	2.6706517717799407
robotglobal	13	0	67	2.9943910579607635
robotglobal	13	0	68	2.9778366372066136
robotglobal	13	0	69	2.99829680208859
robotglobal	13	0	70	2.9919357279821495
robotglobal	13	0	71	2.888312398266955
robotglobal	13	0	72	2.9838266356674525
robotglobal	13	0	73	2.98582473856976
robotglobal	13	0	74	2.984261025799615
robotglobal	13	0	75	2.9551178068534965
robotglobal	13	0	76	2.9925774453404896
robotglobal	13	0	77	2.993335310133602
robotglobal	13	0	78	2.9909895237959385
robotglobal	13	0	79	2.9651386105412723
robotglobal	13	0	80	2.942835054933181
robotglobal	13	0	81	2.9803256460038465
robotglobal	13	0	82	2.9883800535676555
robotglobal	13	0	83	2.113355757266864
robotglobal	13	0	84	2.9678089130212677
robotglobal	13	0	85	2.992439402045242
robotglobal	13	0	86	2.951599113672409
robotglobal	13	0	87	2.989251074269048
robotglobal	13	0	88	2.989507580666326
robotglobal	13	0	89	2.9847577704657065
robotglobal	13	0	90	2.9796723387164388
robotglobal	13	0	91	2.9913000713212683
robotglobal	13	0	92	2.9783922870146444
robotglobal	13	0	93	2.9831305968018693
robotglobal	13	0	94	2.9950327401188153
robotglobal	13	0	95	2.9958416220140367
robotglobal	13	0	96	2.988736516800012
robotglobal	13	0	97	2.9963812799239014
robotglobal	13	0	98	2.9959841491059174
robotglobal	13	0	99	2.990859999444701
robotglobal	13	1	0	2.947320915500587
robotglobal	13	1	1	2.9214744725815374
robotglobal	13	1	2	2.7201420289959177
robotglobal	13	1	3	2.9927611900260827
robotglobal	13	1	4	2.4690815605917367
robotglobal	13	1	5	2.9925536759136486
robotglobal	13	1	6	2.980845816957728
robotglobal	13	1	7	2.975243097522955
robotglobal	13	1	8	2.979487284379119
robotglobal	13	1	9	2.9768918636350206
robotglobal	13	1	10	2.841789834178763
robotglobal	13	1	11	2.9794403170194173
robotglobal	13	1	12	2.974658199377247
robotglobal	13	1	13	1.8260507604024694
robotglobal	13	1	14	2.9845254539889203
